29,DM-CARSTF,,Dear Beyond carz

We know time is money and the more time you save,, the more cars you can buy and sell. CARS24.com is excited to offer an exclusive service to all our Mumbai channel partners. You can now get a car delivered and complete the paperwork at your doorstep. Just contact your sales representative and place a request. 

Regards,,
CARS24.com
Your Business Partner in Growth,,2016-10-10 13:38:50+00
21,AD-CARSTF,,Dear Automaxx (MFC)

We know time is money and the more time you save,, the more cars you can buy and sell. CARS24.com is excited to offer an exclusive service to all our Mumbai channel partners. You can now get a car delivered and complete the paperwork at your doorstep. Just contact your sales representative and place a request. 

Regards,,
CARS24.com
Your Business Partner in Growth,,2016-10-17 13:59:56+00
